Epoch 1/50, Train Loss: 1.2218, Val Loss: 1.0598, Val Accuracy: 61.51%
Epoch 2/50, Train Loss: 1.0133, Val Loss: 1.0316, Val Accuracy: 63.57%
Epoch 3/50, Train Loss: 0.9715, Val Loss: 1.0385, Val Accuracy: 62.54%
Epoch 4/50, Train Loss: 0.9594, Val Loss: 1.0250, Val Accuracy: 63.23%
Epoch 5/50, Train Loss: 0.9440, Val Loss: 1.0290, Val Accuracy: 63.23%
Epoch 6/50, Train Loss: 0.9378, Val Loss: 0.9962, Val Accuracy: 63.23%
Epoch 7/50, Train Loss: 0.9305, Val Loss: 1.0428, Val Accuracy: 62.20%
Epoch 8/50, Train Loss: 0.9292, Val Loss: 1.0265, Val Accuracy: 62.89%
Epoch 9/50, Train Loss: 0.9092, Val Loss: 1.0463, Val Accuracy: 61.51%
Epoch 10/50, Train Loss: 0.9051, Val Loss: 1.0219, Val Accuracy: 61.51%
Epoch 11/50, Train Loss: 0.9113, Val Loss: 1.0157, Val Accuracy: 61.17%
Epoch 12/50, Train Loss: 0.9101, Val Loss: 1.0157, Val Accuracy: 63.57%
Epoch 13/50, Train Loss: 0.8975, Val Loss: 1.0079, Val Accuracy: 63.23%
Epoch 14/50, Train Loss: 0.8998, Val Loss: 1.0130, Val Accuracy: 62.54%
Epoch 15/50, Train Loss: 0.8926, Val Loss: 1.0217, Val Accuracy: 61.17%
Epoch 16/50, Train Loss: 0.8935, Val Loss: 1.0129, Val Accuracy: 62.89%
Epoch 17/50, Train Loss: 0.8915, Val Loss: 1.0108, Val Accuracy: 63.92%
Epoch 18/50, Train Loss: 0.8876, Val Loss: 1.0137, Val Accuracy: 63.23%
Epoch 19/50, Train Loss: 0.8898, Val Loss: 1.0149, Val Accuracy: 63.23%
Epoch 20/50, Train Loss: 0.8950, Val Loss: 1.0154, Val Accuracy: 63.23%
Epoch 21/50, Train Loss: 0.8822, Val Loss: 1.0166, Val Accuracy: 63.57%
Epoch 22/50, Train Loss: 0.8845, Val Loss: 1.0149, Val Accuracy: 63.23%
Epoch 23/50, Train Loss: 0.8868, Val Loss: 1.0148, Val Accuracy: 63.92%
Epoch 24/50, Train Loss: 0.8808, Val Loss: 1.0150, Val Accuracy: 63.57%
Epoch 25/50, Train Loss: 0.8875, Val Loss: 1.0151, Val Accuracy: 63.57%
Epoch 26/50, Train Loss: 0.8874, Val Loss: 1.0146, Val Accuracy: 63.57%
Epoch 27/50, Train Loss: 0.8888, Val Loss: 1.0147, Val Accuracy: 63.57%
Epoch 28/50, Train Loss: 0.8755, Val Loss: 1.0147, Val Accuracy: 63.57%
Epoch 29/50, Train Loss: 0.8858, Val Loss: 1.0147, Val Accuracy: 63.23%
Epoch 30/50, Train Loss: 0.8941, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 31/50, Train Loss: 0.8785, Val Loss: 1.0131, Val Accuracy: 63.57%
Epoch 32/50, Train Loss: 0.8781, Val Loss: 1.0154, Val Accuracy: 63.57%
Epoch 33/50, Train Loss: 0.8811, Val Loss: 1.0151, Val Accuracy: 63.57%
Epoch 34/50, Train Loss: 0.8835, Val Loss: 1.0151, Val Accuracy: 63.57%
Epoch 35/50, Train Loss: 0.8840, Val Loss: 1.0153, Val Accuracy: 63.57%
Epoch 36/50, Train Loss: 0.8775, Val Loss: 1.0154, Val Accuracy: 63.57%
Epoch 37/50, Train Loss: 0.8747, Val Loss: 1.0153, Val Accuracy: 63.57%
Epoch 38/50, Train Loss: 0.8806, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 39/50, Train Loss: 0.8825, Val Loss: 1.0147, Val Accuracy: 63.57%
Epoch 40/50, Train Loss: 0.8816, Val Loss: 1.0149, Val Accuracy: 63.57%
Epoch 41/50, Train Loss: 0.8792, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 42/50, Train Loss: 0.8808, Val Loss: 1.0153, Val Accuracy: 63.57%
Epoch 43/50, Train Loss: 0.8810, Val Loss: 1.0155, Val Accuracy: 63.57%
Epoch 44/50, Train Loss: 0.8814, Val Loss: 1.0153, Val Accuracy: 63.57%
Epoch 45/50, Train Loss: 0.8795, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 46/50, Train Loss: 0.8808, Val Loss: 1.0151, Val Accuracy: 63.57%
Epoch 47/50, Train Loss: 0.8754, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 48/50, Train Loss: 0.8799, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 49/50, Train Loss: 0.8836, Val Loss: 1.0152, Val Accuracy: 63.57%
Epoch 50/50, Train Loss: 0.8757, Val Loss: 1.0153, Val Accuracy: 63.57%
