Epoch 1/50, Train Loss: 1.1929, Val Loss: 1.0567, Val Accuracy: 53.96%
Epoch 2/50, Train Loss: 0.8904, Val Loss: 1.0502, Val Accuracy: 54.68%
Epoch 3/50, Train Loss: 0.7878, Val Loss: 1.0036, Val Accuracy: 59.35%
Epoch 4/50, Train Loss: 0.7037, Val Loss: 0.9957, Val Accuracy: 57.91%
Epoch 5/50, Train Loss: 0.6402, Val Loss: 1.0332, Val Accuracy: 54.32%
Epoch 6/50, Train Loss: 0.6009, Val Loss: 0.9891, Val Accuracy: 60.43%
Epoch 7/50, Train Loss: 0.5438, Val Loss: 1.0039, Val Accuracy: 56.83%
Epoch 8/50, Train Loss: 0.5137, Val Loss: 0.9917, Val Accuracy: 60.07%
Epoch 9/50, Train Loss: 0.4836, Val Loss: 0.9761, Val Accuracy: 62.95%
Epoch 10/50, Train Loss: 0.4636, Val Loss: 0.9881, Val Accuracy: 60.07%
Epoch 11/50, Train Loss: 0.4452, Val Loss: 0.9890, Val Accuracy: 60.07%
Epoch 12/50, Train Loss: 0.4339, Val Loss: 0.9861, Val Accuracy: 60.07%
Epoch 13/50, Train Loss: 0.4153, Val Loss: 0.9898, Val Accuracy: 60.79%
Epoch 14/50, Train Loss: 0.4085, Val Loss: 0.9824, Val Accuracy: 62.23%
Epoch 15/50, Train Loss: 0.3984, Val Loss: 0.9922, Val Accuracy: 60.43%
Epoch 16/50, Train Loss: 0.3907, Val Loss: 0.9928, Val Accuracy: 60.43%
Epoch 17/50, Train Loss: 0.3845, Val Loss: 0.9913, Val Accuracy: 60.79%
Epoch 18/50, Train Loss: 0.3799, Val Loss: 1.0009, Val Accuracy: 58.99%
Epoch 19/50, Train Loss: 0.3746, Val Loss: 0.9892, Val Accuracy: 61.15%
Epoch 20/50, Train Loss: 0.3712, Val Loss: 0.9957, Val Accuracy: 60.07%
Epoch 21/50, Train Loss: 0.3669, Val Loss: 0.9919, Val Accuracy: 60.43%
Epoch 22/50, Train Loss: 0.3653, Val Loss: 0.9881, Val Accuracy: 60.07%
Epoch 23/50, Train Loss: 0.3629, Val Loss: 0.9931, Val Accuracy: 60.43%
Epoch 24/50, Train Loss: 0.3595, Val Loss: 0.9890, Val Accuracy: 60.79%
Epoch 25/50, Train Loss: 0.3574, Val Loss: 0.9930, Val Accuracy: 60.43%
Epoch 26/50, Train Loss: 0.3563, Val Loss: 0.9927, Val Accuracy: 60.43%
Epoch 27/50, Train Loss: 0.3552, Val Loss: 0.9906, Val Accuracy: 61.15%
Epoch 28/50, Train Loss: 0.3545, Val Loss: 0.9916, Val Accuracy: 60.79%
Epoch 29/50, Train Loss: 0.3557, Val Loss: 0.9912, Val Accuracy: 61.15%
Epoch 30/50, Train Loss: 0.3534, Val Loss: 0.9922, Val Accuracy: 60.79%
Epoch 31/50, Train Loss: 0.3513, Val Loss: 0.9921, Val Accuracy: 60.79%
Epoch 32/50, Train Loss: 0.3516, Val Loss: 0.9909, Val Accuracy: 61.15%
Epoch 33/50, Train Loss: 0.3515, Val Loss: 0.9923, Val Accuracy: 60.43%
Epoch 34/50, Train Loss: 0.3499, Val Loss: 0.9915, Val Accuracy: 61.15%
Epoch 35/50, Train Loss: 0.3498, Val Loss: 0.9918, Val Accuracy: 60.79%
Epoch 36/50, Train Loss: 0.3493, Val Loss: 0.9915, Val Accuracy: 61.15%
Epoch 37/50, Train Loss: 0.3499, Val Loss: 0.9917, Val Accuracy: 60.79%
Epoch 38/50, Train Loss: 0.3486, Val Loss: 0.9915, Val Accuracy: 61.15%
Epoch 39/50, Train Loss: 0.3492, Val Loss: 0.9916, Val Accuracy: 61.15%
Epoch 40/50, Train Loss: 0.3493, Val Loss: 0.9918, Val Accuracy: 61.15%
Epoch 41/50, Train Loss: 0.3483, Val Loss: 0.9915, Val Accuracy: 61.15%
Epoch 42/50, Train Loss: 0.3483, Val Loss: 0.9915, Val Accuracy: 61.15%
Epoch 43/50, Train Loss: 0.3483, Val Loss: 0.9917, Val Accuracy: 61.15%
Epoch 44/50, Train Loss: 0.3494, Val Loss: 0.9917, Val Accuracy: 61.15%
Epoch 45/50, Train Loss: 0.3488, Val Loss: 0.9918, Val Accuracy: 61.15%
Epoch 46/50, Train Loss: 0.3483, Val Loss: 0.9916, Val Accuracy: 61.15%
Epoch 47/50, Train Loss: 0.3480, Val Loss: 0.9917, Val Accuracy: 61.15%
Epoch 48/50, Train Loss: 0.3489, Val Loss: 0.9919, Val Accuracy: 61.15%
Epoch 49/50, Train Loss: 0.3486, Val Loss: 0.9918, Val Accuracy: 61.15%
Epoch 50/50, Train Loss: 0.3482, Val Loss: 0.9918, Val Accuracy: 61.15%
